,Ball 0,,,,,,Ball 1,,,,,,
,m:,1.2,,,,,m:,2.31,,,,,
,r:,1,,,,,r:,1,,,,,
,k:,9800,,,,,k:,9800,,,,,
,rot: ,true,,,,,,,,,,,
,u_k: ,0.5,,,,,,,,,,,
t,s_x,s_y,v_x,v_y,theta,w,s_x,s_y,v_x,v_y,theta,w,
0.0187,0.161947,0.9065,8.66025,-5,0,0,-1.08265,-0.819698,11.4907,9.64181,0,0,
0.0188,0.162813,0.906,8.66025,-5,0,0,-1.08151,-0.818734,11.4907,9.64181,0,0,
0.0189,0.163679,0.9055,8.66025,-5,0,0,-1.08036,-0.81777,11.4907,9.64181,0,0,
0.019,0.164545,0.905,8.66025,-5,0,0,-1.07921,-0.816806,11.4907,9.64181,0,0,
0.0191,0.165411,0.9045,8.66025,-5,0,0,-1.07806,-0.815841,11.4907,9.64181,0,0,
0.0192,0.166277,0.904,8.66025,-5,0,0,-1.07691,-0.814877,11.4907,9.64181,0,0,
0.0193,0.167143,0.9035,8.66025,-5,0,0,-1.07576,-0.813913,11.4907,9.64181,0,0,
0.0194,0.168009,0.903,8.66025,-5,0,0,-1.07461,-0.812949,11.4907,9.64181,0,0,
0.0195,0.168875,0.9025,8.66025,-5,0,0,-1.07346,-0.811985,11.4907,9.64181,0,0,
0.0196,0.169741,0.902,8.66025,-5,0,0,-1.07231,-0.811021,11.4907,9.64181,0,0,
0.0197,0.170607,0.9015,8.66025,-5,0,0,-1.07116,-0.810056,11.4907,9.64181,0,0,
0.0198,0.171473,0.901,8.66025,-5,0,0,-1.07001,-0.809092,11.4907,9.64181,0,0,
0.0199,0.172339,0.9005,8.66025,-5,0,0,-1.06887,-0.808128,11.4907,9.64181,0,0,
0.02,0.173205,0.9,8.66025,-5,0,0,-1.06772,-0.807164,11.4907,9.64181,0,0,
0.0201,0.174071,0.8995,8.66025,-5,0,0,-1.06657,-0.8062,11.4907,9.64181,0,0,
0.0202,0.174937,0.899,8.66025,-5,0,0,-1.06542,-0.805235,11.4907,9.64181,0,0,
0.0203,0.175803,0.8985,8.66025,-5,0,0,-1.06427,-0.804271,11.4907,9.64181,0,0,
0.0204,0.176669,0.898,8.66025,-5,0,0,-1.06312,-0.803307,11.4907,9.64181,0,0,
0.0205,0.177535,0.8975,8.66025,-5,0,0,-1.06197,-0.802343,11.4907,9.64181,0,0,
0.0206,0.178401,0.897,8.66025,-5,0,0,-1.06082,-0.801379,11.4907,9.64181,0,0,
0.0207,0.179267,0.8965,8.66025,-5,0,0,-1.05967,-0.800415,11.4907,9.64181,0,0,
0.0208,0.180133,0.896,8.66025,-5,0,0,-1.05852,-0.79945,11.4907,9.64181,0,0,
0.0209,0.180999,0.8955,8.66025,-5,0,0,-1.05737,-0.798486,11.4907,9.64181,0,0,
0.021,0.181865,0.895,8.66025,-5,0,0,-1.05623,-0.797522,11.4907,9.64181,0,0,
0.0211,0.182731,0.8945,8.66025,-5,0,0,-1.05508,-0.796558,11.4907,9.64181,0,0,
0.0212,0.183597,0.894,8.66025,-5,0,0,-1.05393,-0.795594,11.4907,9.64181,0,0,
0.0213,0.184463,0.8935,8.66025,-5,0,0,-1.05278,-0.794629,11.4907,9.64181,0,0,
0.0214,0.185329,0.893,8.66025,-5,0,0,-1.05163,-0.793665,11.4907,9.64181,0,0,
0.0215,0.186195,0.8925,8.66025,-5,0,0,-1.05048,-0.792701,11.4907,9.64181,0,0,
0.0216,0.187061,0.892,8.66025,-5,0,0,-1.04933,-0.791737,11.4907,9.64181,0,0,
0.0217,0.187927,0.8915,8.66025,-5,0,0,-1.04818,-0.790773,11.4907,9.64181,0,0,
0.0218,0.188793,0.891,8.66025,-5,0,0,-1.04703,-0.789809,11.4907,9.64181,0,0,
0.0219,0.189659,0.8905,8.66025,-5,0,0,-1.04588,-0.788844,11.4907,9.64181,0,0,
0.022,0.190525,0.89,8.66025,-5,0,0,-1.04474,-0.78788,11.4907,9.64181,0,0,
0.0221,0.191392,0.8895,8.66025,-5,0,0,-1.04359,-0.786916,11.4907,9.64181,0,0,
0.0222,0.192258,0.889,8.66025,-5,0,0,-1.04244,-0.785952,11.4907,9.64181,0,0,
0.0223,0.193124,0.8885,8.66025,-5,0,0,-1.04129,-0.784988,11.4907,9.64181,0,0,
0.0224,0.19399,0.888,8.66025,-5,0,0,-1.04014,-0.784023,11.4907,9.64181,0,0,
0.0225,0.194856,0.8875,8.66025,-5,0,0,-1.03899,-0.783059,11.4907,9.64181,0,0,
0.0226,0.195722,0.887,8.66025,-5,0,0,-1.03784,-0.782095,11.4907,9.64181,0,0,
0.0227,0.196588,0.8865,8.66025,-5,0,0,-1.03669,-0.781131,11.4907,9.64181,0,0,
0.0228,0.197454,0.886,8.66025,-5,0,0,-1.03554,-0.780167,11.4907,9.64181,0,0,
0.0229,0.19832,0.8855,8.66025,-5,0,0,-1.03439,-0.779203,11.4907,9.64181,0,0,
0.023,0.199186,0.885,8.66025,-5,0,0,-1.03324,-0.778238,11.4907,9.64181,0,0,
