,Ball 0,,,,,,Ball 1,,,,,,
,m:,1.2,,,,,m:,2.31,,,,,
,r:,1,,,,,r:,1,,,,,
,k:,980,,,,,k:,980,,,,,
,rot: ,true,,,,,,,,,,,
,u_k: ,0.5,,,,,,,,,,,
t,s_x,s_y,v_x,v_y,theta,w,s_x,s_y,v_x,v_y,theta,w,
0.0245,0.41895,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0246,0.42066,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0247,0.42237,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0248,0.42408,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0249,0.42579,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.025,0.4275,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0251,0.42921,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0252,0.43092,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0253,0.43263,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0254,0.43434,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0255,0.43605,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0256,0.43776,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0257,0.43947,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0258,0.44118,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0259,0.44289,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.026,0.4446,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0261,0.44631,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0262,0.44802,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0263,0.44973,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0264,0.45144,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0265,0.45315,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0266,0.45486,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0267,0.45657,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
